split,source,output
train,000966.png,000966.png
train,004734.png,004734.png
train,003211.png,003211.png
train,002530.png,002530.png
train,001415.png,001415.png
train,002174.png,002174.png
train,003973.png,003973.png
train,000926.png,000926.png
train,002381.png,002381.png
train,003459.png,003459.png
train,000467.png,000467.png
train,002187.png,002187.png
train,001708.png,001708.png
train,005584.png,005584.png
train,004529.png,004529.png
train,000128.png,000128.png
train,000202.png,000202.png
train,003686.png,003686.png
train,004850.png,004850.png
train,006017.png,006017.png
train,005389.png,005389.png
train,004156.png,004156.png
train,005675.png,005675.png
train,003027.png,003027.png
train,003925.png,003925.png
train,005477.png,005477.png
train,000291.png,000291.png
train,002183.png,002183.png
train,001623.png,001623.png
train,005845.png,005845.png
train,001409.png,001409.png
train,005101.png,005101.png
train,002346.png,002346.png
train,005014.png,005014.png
train,001034.png,001034.png
train,003240.png,003240.png
train,001438.png,001438.png
train,003944.png,003944.png
train,001992.png,001992.png
train,001461.png,001461.png
train,000159.png,000159.png
train,004582.png,004582.png
train,002770.png,002770.png
train,004029.png,004029.png
train,003857.png,003857.png
train,004213.png,004213.png
train,001049.png,001049.png
train,004940.png,004940.png
train,002063.png,002063.png
train,001352.png,001352.png
train,004245.png,004245.png
train,000391.png,000391.png
train,001110.png,001110.png
train,000322.png,000322.png
train,004797.png,004797.png
train,004064.png,004064.png
train,006066.png,006066.png
train,003911.png,003911.png
train,002018.png,002018.png
train,004777.png,004777.png
train,001365.png,001365.png
train,001875.png,001875.png
train,000628.png,000628.png
train,000438.png,000438.png
train,006076.png,006076.png
train,003651.png,003651.png
train,002223.png,002223.png
train,003053.png,003053.png
train,003160.png,003160.png
train,001783.png,001783.png
train,005468.png,005468.png
train,004558.png,004558.png
train,002717.png,002717.png
train,002473.png,002473.png
train,004124.png,004124.png
train,004773.png,004773.png
train,003219.png,003219.png
train,001950.png,001950.png
train,005395.png,005395.png
train,000985.png,000985.png
train,002225.png,002225.png
train,003122.png,003122.png
train,003870.png,003870.png
